Author,Year,Week,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
25,2019,35,1,2012,1011,2,3,8,08/30/2019 00:59:57,08/30/2019 00:59:57
25,2019,36,1,2,2,0,0,1,09/02/2019 18:26:24,09/02/2019 18:26:24
25,2019,39,1,2,2,0,0,1,09/28/2019 02:51:20,09/28/2019 02:51:20
25,2019,40,4,102,5,1,0,4,10/03/2019 04:34:44,10/03/2019 22:09:47
25,2019,41,2,124,28,1,0,2,10/08/2019 02:56:11,10/09/2019 21:07:30
25,2019,43,3,1653,1776,1,1,21,10/24/2019 18:36:28,10/25/2019 21:56:33
25,2019,44,5,1296,902,0,2,112,10/27/2019 06:47:26,11/01/2019 22:02:03
25,2019,45,4,39,20,0,0,6,11/04/2019 23:53:53,11/07/2019 19:34:28
25,2019,47,1,124,0,0,0,5,11/21/2019 05:22:18,11/21/2019 05:22:18
25,2019,49,1,281,48,2,0,11,12/06/2019 23:54:15,12/06/2019 23:54:15
25,2019,51,1,399,483,0,0,6,12/17/2019 17:56:51,12/17/2019 17:56:51
25,2019,52,1,2,2,0,0,1,12/26/2019 21:56:45,12/26/2019 21:56:45
25,2020,1,3,188,2,2,0,2,01/01/2020 01:21:21,01/01/2020 03:58:07
26,2018,20,2,446,11,3,0,7,05/15/2018 00:26:16,05/16/2018 21:49:40
26,2018,21,4,288,29,1,0,13,05/21/2018 16:47:56,05/24/2018 22:53:55
26,2018,22,6,318,384,1,0,24,05/29/2018 18:54:02,05/31/2018 22:51:34
26,2018,23,4,298,308,2,0,11,06/05/2018 23:40:29,06/09/2018 02:37:46
26,2018,24,3,1008,1017,2,0,16,06/11/2018 18:01:37,06/13/2018 19:37:51
26,2018,25,1,125,12,1,0,3,06/20/2018 20:43:49,06/20/2018 20:43:49
26,2018,26,1,19405,10044,66,0,7,06/27/2018 00:04:12,06/27/2018 00:04:12
26,2018,27,4,319,276,0,0,44,07/02/2018 22:59:29,07/03/2018 22:29:42
26,2018,30,2,849,213,0,0,10,07/23/2018 22:45:08,07/26/2018 19:13:28
26,2018,31,3,4923,129,16,0,18,07/30/2018 22:10:58,07/31/2018 18:39:45
26,2018,33,1,1143,6,16,0,2,08/17/2018 00:01:54,08/17/2018 00:01:54
26,2018,34,1,336,0,7,0,0,08/20/2018 19:52:09,08/20/2018 19:52:09
26,2018,35,2,630,136,1,0,12,08/27/2018 20:24:33,08/30/2018 04:21:09
26,2018,36,3,1780,855,5,0,31,09/04/2018 17:10:12,09/07/2018 19:53:56
